id,recipe_id,food_item_id,quantity,calories,protein_g,fat_g,carbs_g,logged_date
195,3,,1.34,1015.7,78.8,41.0,78.5,2026-08-18
196,1,,0.83,534.5,54.8,17.5,35.1,2026-08-19
197,3,,0.79,598.8,46.5,24.2,46.3,2026-08-19
198,1,,1.08,695.5,71.3,22.8,45.7,2026-08-19
199,,10,1.94,217.3,3.9,0.2,50.4,2026-08-20
200,1,,1.05,676.2,69.3,22.2,44.4,2026-08-20
201,3,,1.14,864.1,67.0,34.9,66.8,2026-08-20
202,1,,0.84,541.0,55.4,17.7,35.5,2026-08-20
203,1,,0.77,495.9,50.8,16.2,32.6,2026-08-21
204,,5,1.04,104.0,18.7,0.7,6.2,2026-08-21
205,1,,0.89,573.2,58.7,18.8,37.6,2026-08-21
206,2,,1.21,635.2,42.7,9.6,101.6,2026-08-22
207,,6,0.95,142.5,4.8,2.8,25.6,2026-08-22
208,,4,1.19,40.5,3.3,0.5,7.9,2026-08-22
209,3,,1.05,795.9,61.7,32.1,61.5,2026-08-22
210,,1,1.37,226.1,42.5,4.9,0.0,2026-08-23
211,,8,1.68,176.4,2.2,0.7,45.4,2026-08-23
212,2,,1.35,708.8,47.7,10.7,113.4,2026-08-23
213,2,,0.8,420.0,28.2,6.3,67.2,2026-08-24
214,1,,1.39,895.2,91.7,29.3,58.8,2026-08-24
215,3,,1.27,962.7,74.7,38.9,74.4,2026-08-24
216,1,,1.01,650.4,66.7,21.3,42.7,2026-08-25
217,2,,1.18,619.5,41.7,9.3,99.1,2026-08-25
218,3,,0.89,674.6,52.3,27.2,52.2,2026-08-25
219,3,,1.12,849.0,65.9,34.3,65.6,2026-08-25
220,2,,0.97,509.2,34.2,7.7,81.5,2026-08-25
221,,7,1.54,184.8,37.0,2.3,4.6,2026-08-26
222,2,,1.01,530.2,35.7,8.0,84.8,2026-08-26
223,,8,1.4,147.0,1.8,0.6,37.8,2026-08-26
224,2,,1.38,724.5,48.7,10.9,115.9,2026-08-26
225,,8,0.53,55.7,0.7,0.2,14.3,2026-08-26
226,2,,1.1,577.5,38.8,8.7,92.4,2026-08-27
227,3,,1.28,970.2,75.3,39.2,75.0,2026-08-27
228,1,,0.97,624.7,64.0,20.5,41.0,2026-08-27
229,2,,0.77,404.2,27.2,6.1,64.7,2026-08-27
230,1,,1.17,753.5,77.2,24.7,49.5,2026-08-27
231,3,,1.04,788.3,61.2,31.8,60.9,2026-08-28
232,3,,1.4,1061.2,82.3,42.8,82.0,2026-08-28
233,2,,0.84,441.0,29.7,6.6,70.6,2026-08-28
234,,7,1.89,226.8,45.4,2.8,5.7,2026-08-29
235,2,,1.45,761.2,51.2,11.5,121.8,2026-08-29
236,,5,0.97,97.0,17.5,0.7,5.8,2026-08-29
237,1,,1.01,650.4,66.7,21.3,42.7,2026-08-29
238,1,,1.34,863.0,88.4,28.3,56.7,2026-08-30
239,,4,0.91,30.9,2.5,0.4,6.0,2026-08-30
240,3,,1.23,932.3,72.3,37.6,72.1,2026-08-30
241,,5,0.66,66.0,11.9,0.5,4.0,2026-08-31
242,,3,0.99,117.8,0.0,13.4,0.0,2026-08-31
243,2,,1.04,546.0,36.7,8.2,87.4,2026-08-31
244,3,,0.96,727.7,56.4,29.4,56.3,2026-08-31
245,,10,1.58,177.0,3.2,0.2,41.1,2026-08-31
