id,workout_name,exercise_id,scheduled_date,exercise_order,category,sets_completed,reps,weight_lbs,rpe,total_volume,calories_burned
80,Pull Day,5,2026-08-17,2,Pull,5,7,155,8.9,5425,5.6
81,Legs Day,1,2026-08-17,3,Legs,5,6,135,6.4,4050,3.6
82,Legs Day,1,2026-08-18,1,Legs,5,9,115,9.0,5175,5.4
83,Pull Day,6,2026-08-18,2,Pull,4,10,205,7.9,8200,8.0
84,Push Day,4,2026-08-18,3,Push,4,6,185,6.5,4440,4.0
85,Push Day,2,2026-08-20,1,Push,5,7,205,7.0,7175,6.6
86,Push Day,4,2026-08-20,2,Push,3,8,155,6.1,3720,3.3
87,Hinge Day,3,2026-08-20,3,Hinge,5,7,205,8.3,7175,7.2
88,Push Day,4,2026-08-21,1,Push,3,9,205,8.3,5535,5.5
89,Pull Day,6,2026-08-21,2,Pull,4,7,155,7.8,4340,4.2
90,Legs Day,1,2026-08-21,3,Legs,4,5,205,7.6,4100,3.9
91,Push Day,4,2026-08-24,1,Push,3,8,205,7.0,4920,4.6
92,Push Day,2,2026-08-24,2,Push,3,9,135,8.7,3645,3.7
93,Hinge Day,3,2026-08-24,3,Hinge,5,5,205,6.3,5125,4.6
94,Pull Day,6,2026-08-25,1,Pull,4,5,185,6.9,3700,3.4
95,Push Day,2,2026-08-25,2,Push,4,7,155,7.2,4340,4.1
96,Pull Day,5,2026-08-25,3,Pull,3,5,205,7.2,3075,2.9
97,Pull Day,6,2026-08-27,1,Pull,3,5,135,6.1,2025,1.8
98,Push Day,4,2026-08-27,2,Push,5,8,225,8.7,9000,9.2
99,Pull Day,5,2026-08-27,3,Pull,5,6,155,8.0,4650,4.6
100,Legs Day,1,2026-08-28,1,Legs,4,10,225,8.6,9000,9.1
101,Pull Day,5,2026-08-28,2,Pull,5,8,185,6.3,7400,6.6
102,Push Day,2,2026-08-28,3,Push,3,5,155,8.8,2325,2.4
103,Hinge Day,3,2026-08-31,1,Hinge,4,7,135,7.9,3780,3.7
104,Pull Day,5,2026-08-31,2,Pull,4,5,95,7.5,1900,1.8
105,Pull Day,6,2026-08-31,3,Pull,5,5,115,7.8,2875,2.8
